onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	Grammatical	1	1.253	divers	were	floating	n/a
8.91	4.91	Ungrammatical	1	0.987	squirrels	has	sniff	n/a
13.82	4.91	Grammatical	1	1.007	buyers	can	rent	n/a
18.73	4.91	Ungrammatical	1	1.099	wolf	could	howling	n/a
23.64	4.91	Grammatical	1	0.934	salesman	is	loud	n/a
28.55	4.91	Ungrammatical	1	1.198	cousin	is	talk	n/a
33.46	4.91	Grammatical	1	0.736	witness	is	honest	n/a
38.37	4.91	Ungrammatical	1	1.031	librarians	can	accusing	n/a
43.28	4.91	Grammatical	1	0.691	fox	was	clever	n/a
48.19	4.91	Grammatical	1	0.96	collector	was	blamed	n/a
57.1	4.91	control	1	0.564	\ /	/ \	/ \	2.0
62.01	4.91	control	1	0.868	\ /	/ \	/ /	n/a
66.92	4.91	control	1	0.935	\ \	\ /	\ \	1.0
71.83	4.91	control	1	0.703	\ \	\ /	/ \	n/a
76.74	4.91	control	1	0.906	/ /	/ \	\ \	n/a
81.65	4.91	control	1	0.55	/ /	/ \	/ \	2.0
86.56	4.91	control	1	0.575	\ /	/ \	\ /	1.0
91.47	4.91	control	1	0.935	/ /	/ \	/ /	1.0
96.38	4.91	control	1	1.069	/ \	/ /	\ /	n/a
101.29	4.91	control	1	0.467	\ \	\ /	\ /	2.0
110.2	4.91	Grammatical	1	0.76	lion	was	chained	n/a
115.11	4.91	Ungrammatical	1	0.845	beavers	has	asleep	n/a
120.02	4.91	Ungrammatical	0	1.024	alligator	are	biting	n/a
124.93	4.91	Grammatical	1	0.668	snake	was	cornered	n/a
129.84	4.91	Grammatical	1	0.798	pilots	are	landing	n/a
134.75	4.91	Ungrammatical	1	1.619	wife	are	creative	n/a
139.66	4.91	Grammatical	1	0.655	weavers	could	knit	n/a
144.57	4.91	Grammatical	1	0.639	clowns	were	silly	n/a
149.48	4.91	Ungrammatical	1	1.15	players	were	change	n/a
154.39	4.91	Grammatical	1	1.017	ladies	were	helped	n/a
163.3	4.91	control	1	0.391	/ /	\ \	\ \	2.0
168.21	4.91	control	1	0.796	/ \	/ /	/ \	1.0
173.12	4.91	control	1	0.683	\ /	\ \	\ \	2.0
178.03	4.91	control	1	0.621	/ /	\ \	\ /	n/a
182.94	4.91	control	1	0.486	/ /	\ \	/ /	1.0
187.85	4.91	control	1	0.707	/ \	/ /	/ /	2.0
192.76	4.91	control	1	0.641	/ \	\ \	/ /	n/a
197.67	4.91	control	1	1.125	\ /	\ \	\ /	1.0
202.58	4.91	control	1	1.047	\ /	/ /	/ \	n/a
207.49	4.91	control	1	0.809	\ \	/ /	/ \	n/a
216.4	4.91	Grammatical	1	0.613	janitor	has	swept	n/a
221.31	4.91	Ungrammatical	1	0.866	grooms	could	nervous	n/a
226.22	4.91	Grammatical	1	0.803	soldiers	could	attack	n/a
231.13	4.91	Ungrammatical	1	1.139	generals	was	tripping	n/a
236.04	4.91	Ungrammatical	1	1.079	voters	was	cheering	n/a
240.95	4.91	Grammatical	1	0.444	toad	could	jump	n/a
245.86	4.91	Grammatical	1	0.863	director	can	watch	n/a
250.77	4.91	Ungrammatical	1	1.295	cooks	have	tasting	n/a
255.68	4.91	Grammatical	0	1.395	musician	can	tune	n/a
260.59	4.91	Grammatical	1	0.67	rats	were	climbing	n/a
269.5	4.91	control	1	0.906	\ \	/ /	/ /	2.0
274.41	4.91	control	1	0.638	/ /	/ \	\ \	n/a
279.32	4.91	control	1	0.646	/ /	\ /	/ \	n/a
284.23	4.91	control	0	1.42	/ /	\ /	/ /	1.0
289.14	4.91	control	1	0.709	/ \	\ \	/ \	1.0
294.05	4.91	control	1	0.545	/ /	\ /	\ /	2.0
298.96	4.91	control	1	0.537	/ \	\ \	\ \	2.0
303.87	4.91	control	1	0.533	\ /	/ \	/ /	n/a
308.78	4.91	control	1	0.493	\ \	/ /	\ \	1.0
313.69	4.91	control	1	0.723	\ \	/ \	/ /	n/a
322.6	4.91	Grammatical	1	0.542	turkey	was	roasted	n/a
327.51	4.91	Grammatical	1	0.605	dove	has	perched	n/a
332.42	4.91	Ungrammatical	1	1.061	horses	have	fast	n/a
337.33	4.91	Ungrammatical	1	1.129	manager	could	serious	n/a
342.24	4.91	Grammatical	1	0.951	detectives	are	surprised	n/a
347.15	4.91	Ungrammatical	1	1.172	nephew	has	lazy	n/a
352.06	4.91	Grammatical	1	0.768	maids	can	serve	n/a
356.97	4.91	Ungrammatical	1	1.097	vets	is	examine	n/a
361.88	4.91	Grammatical	1	1.025	cat	can	drink	n/a
366.79	4.91	Grammatical	1	0.919	sisters	are	smiling	n/a
375.7	4.91	control	1	0.573	\ \	\ /	/ \	n/a
380.61	4.91	control	1	0.591	\ \	/ \	\ \	1.0
385.52	4.91	control	1	0.636	/ \	\ /	\ /	2.0
390.43	4.91	control	1	0.623	\ /	/ /	\ /	1.0
395.34	4.91	control	1	0.531	\ /	/ /	/ /	2.0
400.25	4.91	control	1	0.927	/ \	/ /	\ /	n/a
405.16	4.91	control	1	0.677	\ \	/ /	\ /	n/a
410.07	4.91	control	1	0.67	\ \	/ \	/ \	2.0
414.98	4.91	control	1	0.839	/ \	\ /	/ \	1.0
419.89	4.91	control	1	0.516	/ /	\ \	\ /	n/a
428.8	4.91	Grammatical	1	0.689	pig	is	snorting	n/a
433.71	4.91	Grammatical	1	0.797	builders	are	strong	n/a
438.62	4.91	Ungrammatical	1	1.046	experts	are	test	n/a
443.53	4.91	Grammatical	1	0.744	riders	are	exercising	n/a
448.44	4.91	Grammatical	1	1.198	coach	can	win	n/a
453.35	4.91	Grammatical	1	0.971	gardeners	are	digging	n/a
458.26	4.91	Ungrammatical	0	1.122	uncle	had	learning	n/a
463.17	4.91	Grammatical	1	0.906	strangers	were	chosen	n/a
468.08	4.91	Ungrammatical	1	1.142	turtles	was	hide	n/a
472.99	4.91	Ungrammatical	0	0.804	boxer	has	punching	n/a
481.9	4.91	control	1	0.833	/ /	/ \	/ /	1.0
486.81	4.91	control	1	1.128	\ \	/ \	\ /	n/a
491.72	4.91	control	1	1.35	\ \	\ /	\ \	1.0
496.63	4.91	control	1	0.668	\ /	\ \	\ \	2.0
501.54	4.91	control	1	1.365	/ \	\ \	/ \	1.0
506.45	4.91	control	1	0.576	/ \	/ /	/ /	2.0
511.36	4.91	control	1	0.935	/ /	\ /	\ \	n/a
516.27	4.91	control	1	0.501	\ /	/ /	\ \	n/a
521.18	4.91	control	1	0.583	\ \	/ \	/ \	2.0
526.09	4.91	control	1	0.611	/ \	\ \	/ /	n/a
